Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Область,Дата,
ПАТ КБ “Приватбанк”,поточний рахунок,26006010004725,"0,00",Блок Петра Порошенка “Солідарність”,Волинська обласна організація,Волинська область,2017-03-31,
ПАТ “МІБ”,поточний рахунок,26003010318161,"17641,56",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-03-31,
ПАТ “МІБ”,поточний рахунок,26100010318161,"143000,00",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-03-31,депозитний рахунок
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26430055300458,"0,00",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-03-31,поточний
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,29036055300978,"3,00",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-03-31,транзитний
АТ “Ощадбанк”,поточний рахунок,26006300913474,"17269,37",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,Донецька область,2017-03-31,
АТ “Ощадбанк”,поточний рахунок,29092300913474,"0,00",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,Донецька область,2017-03-31,рахунок для зарахування з/п
АТ “Ощадбанк”,поточний рахунок,26004300644298,"0,00",Блок Петра Порошенка “Солідарність”,Дніпровська міська організація,Дніпропетровська область,2017-03-31,
АТ “Ощадбанк”,поточний рахунок,26005300484468,"493,99",Блок Петра Порошенка “Солідарність”,Дніпропетровська обласна організація,Дніпропетровська область,2017-03-31,
АТ “Ощадбанк”,поточний рахунок,26000300890814,"18501,13",Блок Петра Порошенка “Солідарність”,Житомирська обласна організація,Житомирська область,2017-03-31,
ПАТ “Комінвестбанк”,поточний рахунок,26006015000808,"463,42",Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,Закарпатська область,2017-03-31,
"АТ ""Укрексімбанк""",поточний рахунок,26008000005026,"764,49",Блок Петра Порошенка “Солідарність”,Запорізька обласна організація,Запорізька область,2017-03-31,
АТ “Ощадбанк”,поточний рахунок,26003300980169,"0,00",Блок Петра Порошенка “Солідарність”,Коломийська міська організація,Івано-Франківська область,2017-03-31,
АТ “Ощадбанк”,поточний рахунок,26004300956820,"103003,10",Блок Петра Порошенка “Солідарність”,Київська обласна організація,Київська область,2017-03-31,
ПАТ “Укрсоцбанк”,поточний рахунок,26008011649608,"1619,98",Блок Петра Порошенка “Солідарність”,Київська міська організація,Київ,2017-03-31,
ПАТ “Промислово-фінансовий банк”,поточний рахунок,26001424501,"0,00",Блок Петра Порошенка “Солідарність”,Кременчуцька міська організація,Полтавська область,2017-03-31,
ПАТ КБ “Приватбанк”,поточний рахунок,26002052912613,"5247,60",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-03-31,
ПАТ КБ “Приватбанк”,поточний рахунок,26042052904249,"0,00",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-03-31,соціальний
ПАТ КБ “Приватбанк”,поточний рахунок,26107052900597,"80000,00",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-03-31,строковий депозит
ПАТ КБ “Приватбанк”,поточний рахунок,26005000691455,"12500,84",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-03-31,поточний депозит
ПАТ КБ “Приватбанк”,поточний рахунок,26107000247257,"0,00",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-03-31,строковий депозит
ПАТ КБ “Приватбанк”,поточний рахунок,26009053718941,"787,66",Блок Петра Порошенка “Солідарність”,Луганська обласна організація,Луганська область,2017-03-31,
ПАТ “МІБ”,поточний рахунок,26004010318212,"150739,28",Блок Петра Порошенка “Солідарність”,Львівська обласна організація,Львівська область,2017-03-31,розрахунковий
ПАТ “Банк Восток”,поточний рахунок,26003010325274,"6622,55",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26439500068587,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Г орішного А.В.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26437500172378,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Мохова Д.В.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26432500172607,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Бойко С.Л.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26430500729461,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Швеця В.В.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26432500172373,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Худіна О.М.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26432500008339,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Дучко Н.М.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26433500086219,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Лукашова О.О.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26433500084040,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Браславського
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26435500944070,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Неряна В.С.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26431500084172,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Біжонок О.А.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26438500172292,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Карбатовського С.В.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26438500990601,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Ореховського
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26437500058599,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Албул В.І.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26438500172612,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Ровен О.М.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26439500965732,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Павлюченко
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26436500083509,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Федоров О.М.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26437500172419,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Ковбасюк В.Ф.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26434500247477,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Хілінський А.М.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26434500172616,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Вальчук В .В.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26436500172603,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Бондаренко Л.В.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26433500172598,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Доценко Л.Є.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26437500257367,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Бурак І.А.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26432500085620,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Євтуховська
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26431500058852,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-03-31,рахунок виборчого фонду кандидата Федорова В.І.
АБ “Укргазбанк”,поточний рахунок,26000212002144,"0,00",Блок Петра Порошенка “Солідарність”,Полтавська міська організація,Полтавська область,2017-03-31,
АБ “Укргазбанк”,поточний рахунок,26000279199,"28825,76",Блок Петра Порошенка “Солідарність”,Полтавська обласна організація,Полтавська область,2017-03-31,
ПАТ КБ “Приватбанк”,поточний рахунок,26001053219711,"1143,37",Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,Миколаївська область,2017-03-31,
"АТ ""Укрексімбанк""",поточний рахунок,26007000010089,"0,00",Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,Миколаївська область,2017-03-31,
АТ “Укрсиббанк”,поточний рахунок,26007557484900,"0,00",Блок Петра Порошенка “Солідарність”,Івано-Франківська обласна організація,Івано-Франківська область,2017-03-31,
АБ “Укргазбанк”,поточний рахунок,26003924420903,"24425,93",Блок Петра Порошенка “Солідарність”,Івано-Франківська обласна організація,Івано-Франківська область,2017-03-31,
ПАТ “МІБ”,поточний рахунок,26006020316815,"20527,13",Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,2017-06-30,
ПАТ “МІБ”,поточний рахунок,26108070316815,"200000,00",Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,2017-06-30,
ПАТ “МІБ”,поточний рахунок,26049010316815,"0,00",Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,2017-06-30,
ПАТ “МІБ”,поточний рахунок,26102010316815,"860000,00",Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,2017-06-30,
ПАТ “МІБ”,рахунок для отримання коштів з Державного бюджету України на фінансування статутної діяльності,26007030316815,"11694488,63",Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,2017-06-30,
АБ “Укргазбанк”,поточний рахунок,26004924417302,"0,00",Блок Петра Порошенка “Солідарність”,Білопільська районна організація,Сумська область,2017-06-30,
АБ “Укргазбанк”,поточний рахунок,26003924420903,"16805,36",Блок Петра Порошенка “Солідарність”,Івано-Франківська обласна організація,Івано-Франківська область,2017-06-30,
ПАТ “МІБ”,поточний рахунок,26003010318161,"22342,13",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-06-30,
ПАТ “МІБ”,поточний рахунок,26100010318161,"143000,00",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-06-30,депозитний рахунок
ПАТ “МІБ”,поточний рахунок,26047010318161,"0,00",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-06-30,поточний рахунок (ФСС)
АБ “Укргазбанк”,рахунок виборчого фонду політичної партії,26430924415417,"0,00",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-06-30,поточний
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,29036055300978,"3,00",Блок Петра Порошенка “Солідарність”,Вінницька обласна організація,Вінницька область,2017-06-30,транзитний
"АБ ""Південний""",поточний рахунок,26006010004725,"4628,03",Блок Петра Порошенка “Солідарність”,Волинська обласна організація,Волинська область,2017-06-30,
АТ “Ощадбанк”,рахунок виборчого фонду політичної партії,26256000084474,"0,00",Блок Петра Порошенка “Солідарність”,Волинська обласна організація,Волинська область,2017-06-30,
АТ “Ощадбанк”,рахунок виборчого фонду політичної партії,26432500291161,"0,00",Блок Петра Порошенка “Солідарність”,Волинська обласна організація,Волинська область,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,26004300644298,"175,40",Блок Петра Порошенка “Солідарність”,Дніпровська міська організація,Дніпропетровська область,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,29090300644298,"0,00",Блок Петра Порошенка “Солідарність”,Дніпровська міська організація,Дніпропетровська область,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,26005300484468,"1014,85",Блок Петра Порошенка “Солідарність”,Дніпропетровська обласна організація,Дніпропетровська область,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,26006300913474,"36076,94",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,Донецька область,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,29092300913474,"0,00",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,Донецька область,2017-06-30,рахунок для зарахування з/п
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26428050000418,"0,00",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,Донецька область,2017-06-30,
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26425053600926,"0,00",Блок Петра Порошенка “Солідарність”,Донецька обласна організація,Донецька область,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,26000300890814,"14989,24",Блок Петра Порошенка “Солідарність”,Житомирська обласна організація,Житомирська область,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,29096300890814,"0,00",Блок Петра Порошенка “Солідарність”,Житомирська обласна організація,Житомирська область,2017-06-30,зарплатний
ПАТ “Комінвестбанк”,поточний рахунок,26006015000808,"1143,41",Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,Закарпатська область,2017-06-30,
ПАТ “Комінвестбанк”,рахунок виборчого фонду політичної партії,26423012400006,"90,00",Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,Закарпатська область,2017-06-30,поточний рахунок виборчого фонду
ПАТ “Комінвестбанк”,рахунок виборчого фонду політичної партії,26426012300006,"0,00",Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,Закарпатська область,2017-06-30,накопичувальний рахунок виборчого фонду
ПАТ “Комінвестбанк”,рахунок виборчого фонду політичної партії,26422012400007,"0,00",Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,Закарпатська область,2017-06-30,поточний рахунок виборчого фонду
ПАТ “Комінвестбанк”,рахунок виборчого фонду політичної партії,26425012300007,"0,00",Блок Петра Порошенка “Солідарність”,Закарпатська обласна організація,Закарпатська область,2017-06-30,накопичувальний рахунок виборчого фонду
"АТ ""Укрексімбанк""",поточний рахунок,26008000005026,"289,09",Блок Петра Порошенка “Солідарність”,Запорізька обласна організація,Запорізька область,2017-06-30,
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26421055700432,"8,00",Блок Петра Порошенка “Солідарність”,Запорізька обласна організація,Запорізька область,2017-06-30,
АТ “Ощадбанк”,рахунок виборчого фонду політичної партії,26429300345575,"0,00",Блок Петра Порошенка “Солідарність”,Запорізька обласна організація,Запорізька область,2017-06-30,
ПАТ КБ “Приватбанк”,поточний рахунок,26002052912613,"5722,39",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-06-30,поточний
ПАТ КБ “Приватбанк”,поточний рахунок,26042052904249,"0,00",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-06-30,соціальний
ПАТ КБ “Приватбанк”,поточний рахунок,26107052900597,"80000,00",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-06-30,строковий депозит
ПАТ КБ “Приватбанк”,поточний рахунок,26005000691455,"12500,84",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-06-30,поточний депозит
ПАТ КБ “Приватбанк”,поточний рахунок,26007052920698,"6500,00",Блок Петра Порошенка “Солідарність”,Кіровоградська обласна організація,Кіровоградська область,2017-06-30,поточний депозит
ПАТ “Укрсоцбанк”,поточний рахунок,26008011649608,"1423,29",Блок Петра Порошенка “Солідарність”,Київська міська організація,Київ,2017-06-30,
ПАТ “Укрсоцбанк”,поточний рахунок,26041012120194,"0,00",Блок Петра Порошенка “Солідарність”,Київська міська організація,Київ,2017-06-30,Поточний  рахунок для зарахування страхових коштів
АТ “Ощадбанк”,поточний рахунок,26004300956820,"33882,25",Блок Петра Порошенка “Солідарність”,Київська обласна організація,Київ,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,26003300980169,"0,00",Блок Петра Порошенка “Солідарність”,Коломийська міська організація,Івано-Франківська область,2017-06-30,
ПАТ “Промислово-фінансовий банк”,поточний рахунок,26001424501,"0,00",Блок Петра Порошенка “Солідарність”,Кременчуцька міська організація,Полтавська область,2017-06-30,
ПАТ КБ “Приватбанк”,поточний рахунок,26009053718941,"1092,81",Блок Петра Порошенка “Солідарність”,Луганська обласна організація,Луганська область,2017-06-30,
ПАТ “МІБ”,поточний рахунок,26004010318212,"122805,21",Блок Петра Порошенка “Солідарність”,Львівська обласна організація,Львівська область,2017-06-30,
ПАТ КБ “Приватбанк”,поточний рахунок,26001053219711,"135,06",Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,Миколаївська область,2017-06-30,поточний
ПАТ КБ “Приватбанк”,поточний рахунок,26041053203743,"0,00",Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,Миколаївська область,2017-06-30,соціальний
ПАТ “Банк Восток”,поточний рахунок,26003010325274,"1788,60",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-06-30,
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26431500084172,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-06-30,рахунок виборчого фонду кандидата Аксьонова М.Г.
АТ “Ощадбанк”,рахунок виборчого фонду кандидата,26431054300271,"0,00",Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,2017-06-30,рахунок виборчого фонду кандидата Дяченка Сергія Миколайовича
АБ “Укргазбанк”,поточний рахунок,26000212002144,"0,00",Блок Петра Порошенка “Солідарність”,Полтавська міська організація,Полтавська область,2017-06-30,
АБ “Укргазбанк”,поточний рахунок,26000279199,"286,89",Блок Петра Порошенка “Солідарність”,Полтавська обласна організація,Полтавська область,2017-06-30,
ПАТ КБ “Приватбанк”,поточний рахунок,26009054713048,"2619,96",Блок Петра Порошенка “Солідарність”,Рівненська обласна організація,Рівненська область,2017-06-30,
ПАТ КБ “Приватбанк”,поточний рахунок,26009055016910,"193,92",Блок Петра Порошенка “Солідарність”,Сумська обласна організація,Сумська область,2017-06-30,
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26426055000048,"7,03",Блок Петра Порошенка “Солідарність”,Сумська обласна організація,Сумська область,2017-06-30,поточний
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26422055000796,"0,00",Блок Петра Порошенка “Солідарність”,Сумська обласна організація,Сумська область,2017-06-30,накопичувальний
ПАТ КБ “Приватбанк”,поточний рахунок,26009055114295,"30368,54",Блок Петра Порошенка “Солідарність”,Тернопільська обласна організація,Тернопільська область,2017-06-30,
ПАТ “Мегабанк”,поточний рахунок,2600912063,"105772,57",Блок Петра Порошенка “Солідарність”,Харківська обласна організація,Харківська область,2017-06-30,
ПАТ “Мегабанк”,поточний рахунок,2600420063,"253,19",Блок Петра Порошенка “Солідарність”,Харківська обласна організація,Харківська область,2017-06-30,картковий рахунок
АБ “Укргазбанк”,поточний рахунок,26001266059,"60834,34",Блок Петра Порошенка “Солідарність”,Херсонська обласна організація,Херсонська область,2017-06-30,
ПАТ “Укрсоцбанк”,поточний рахунок,26001011576381,"220,44",Блок Петра Порошенка “Солідарність”,Хмельницька обласна організація,Хмельницька область,2017-06-30,
АТ “Ощадбанк”,поточний рахунок,26002001135423,"0,00",Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,Черкаська область,2017-06-30,
ПАТ КБ “Приватбанк”,поточний рахунок,26000021523322,"712,24",Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,Черкаська область,2017-06-30,
АТ “Ощадбанк”,рахунок виборчого фонду політичної партії,26428801135423,"0,00",Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,Черкаська область,2017-06-30,
АТ “Ощадбанк”,рахунок виборчого фонду політичної партії,26437501198958,"0,00",Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,Черкаська область,2017-06-30,
АБ “Укргазбанк”,поточний рахунок,26001266565,"4698,18",Блок Петра Порошенка “Солідарність”,Чернівецька обласна організація,Чернівецька область,2017-06-30,
ПАТ “Укрсоцбанк”,поточний рахунок,26006011627020,"21237,54",Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,Чернігівська область,2017-06-30,
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26421051400120,"0,00",Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,Чернігівська область,2017-06-30,накопичувальний
ПАТ КБ “Приватбанк”,рахунок виборчого фонду політичної партії,26427051400209,"0,00",Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,Чернігівська область,2017-06-30,поточний
