"Вид нерухомого майна","Місцезнаходження обʼєкта","Загальна площа (кв.м)","Реєстраційні дані","Дата набуття речового права","Сума витрат на отримання речового права (грн)","Дата припинення","ПІБ (для фіз. осіб)/Назва (для юр. осіб)","Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб)","Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб)","Дата відчуження","Вартість відчуження","Наявність обтяжень","Сума доходу за звітний період (оренда тощо)","Балансова вартість на кінець звітного періоду (грн)","Вид речового права","Тип власника","Партія","Місцева організація","Код ЄДРПОУ осередку","Географічний об'єкт","Дата","Квартал","Рік"
"Нежитлові офісні приміщення","м. Запоріжжя, вул. Перемоги 40","17,5",,"2020-04-07",,"2021-04-07","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","Луганська обл., м. Лисичанськ, вул. Володимира Сосюри 247в","15,0",,"2020-04-13",,"2021-04-13","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","Вінниціька обл., м. Вінниця, вул. Скалецького 4","21,0",,"2020-04-13",,"2021-04-13","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Харків, вул. Скрипника, буд. 4","1545,3",25299184,"2020-01-01","4000000,0","2021-01-01","ТОВ “ВЕБЕРЗ”",34862373,"м. Харків, вул. Квітки-Основʼяненка, буд. 7",,,"обтяження відсутнє","105000,0","4000000,0","право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Тернопіль, вул. Грушевського, буд. 23","16,0",,"2020-04-16",,"2021-04-16","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Чернігів, вул. Перемоги, буд. 139","16,0",,"2020-04-16",,"2021-04-16","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Полтава, вул. Зигіна 29","16,0",,"2020-04-07",,"2021-04-07","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Івано-Франківськ, вул. Гетьмана Мазепи 72","15,0",,"2020-04-15",,"2021-04-15","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Київ, вул. Куренівська 18","13,0",,"2020-04-06",,"2021-04-06","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Хмельницький, вул. Курчатова 6","15,0",,"2020-04-16",,"2021-04-16","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Одеса, пл. Грецька 1","13,0",,"2020-04-15",,"2021-04-15","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Суми, вул. Шишкарівська 11","14,0",,"2020-04-13",,"2021-04-13","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Черкаси, вул. Героїв Сталінграду 22, корп. 3","18,0",,"2020-04-13",,"2021-04-13","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Миколаїв, вул. Спаська 10","18,0",,"2020-04-13",,"2021-04-13","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Рівне, вул. Поштова 11","19,0",,"2020-04-15",,"2021-04-15","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","Донецька обл., м. Покровськ, вул. Маршала Москаленка 144","16,0",,"2020-04-07",,"2021-04-07","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Луцьк, вул. Шопена 22","15,0",,"2020-04-15",,"2021-04-15","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Львів, вул. Угорська 14","15,0",,"2020-04-15",,"2021-04-15","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","м. Дніпро, вул. Князя Ярослава Мудрого 29","13,0",,"2020-04-07",,"2021-04-07","ТОВ ""ГІСТОРГ""",41244121,"м. Київ, бульв. Лесі Українки 27",,,"обтяження відсутнє",,,"право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
"Нежитлові офісні приміщення","Харківська обл., смт Золочів, вул. Центральна 19/1","27,4",,"2020-04-01","796100,0","2021-04-01","Комунальне підприємство “Золочівкомунсервіс”",34923252,"Харківська обл., смт Золочів, вул. Мічуріна, буд. 1",,,"обтяження відсутнє",,"796100,0","право користування","юридична особа","БЛОК КЕРНЕСА – УСПІШНИЙ ХАРКІВ!","Центральний офіс",40419357,"Україна","2020-06-30",2,2020
