Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"ТВБВ № 10013/0242 філії ЛОУ АТ ""Ощадбанк України"", МФО 325796",поточний рахунок,UA813257960000026006300558740,732.03,"Всеукраїнське обʼєднання ""Батьківщина""",Дрогобицька Міська Організація,25257295,Львівська область,2020-12-31,"1,2,3,4",2020
"АТ ""Ощадбанк"" м.Дрогобич, МФО 325796",поточний рахунок,UA523257960000026009300454012,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дрогобицька Районна Організація,25257088,Львівська область,2020-12-31,"1,2,3,4",2020
"Філія Рівненське обласне управління АТ ""Ощадбанк"", 333368",поточний рахунок,UA023333680000026005300004866,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дубенська Районна Організація,25930792,Рівненська область,2020-12-31,"1,2,3,4",2020
"ТВБВ №10013/0166 філії ЛОУ АТ""Ощадбанк"", МФО 325796",поточний рахунок,UA 903257960000026002300561430,5.51,"Всеукраїнське обʼєднання ""Батьківщина""",Ждачівська Районна Організація,25252659,Львівська область,2020-12-31,"1,2,3,4",2020
"АТ ""Айбокс Банк""Житомирське відділення",поточний рахунок,UA873223020000026001001929301,20637.03,"Всеукраїнське обʼєднання ""Батьківщина""",Житомирська Обласна Організація ,25776533,Житомирська область,2020-12-31,"1,2,3,4",2020
"Філія Львівське обласне управління АТ""Ощадбанк"", МФО 325796",поточний рахунок,UA233257960000026005300562340,0,"Всеукраїнське обʼєднання ""Батьківщина""",Жовківська Районна Організація,25256485,Львівська область,2020-12-31,"1,2,3,4",2020
"АТ ""Ощадбанк""",поточний рахунок,UA223264610000026004300822202,0,"Всеукраїнське обʼєднання ""Батьківщина""",Заводська Районна Організація,26029395,Миколаївська область,2020-12-31,"1,2,3,4",2020
"Філія ЗОУ АТ ""Ощадбанк""",поточний рахунок,UA083123560000026003000619517,40395.98,"Всеукраїнське обʼєднання ""Батьківщина""",Закарпатська Обласна Організація,25446205,Закарпатська область,2020-12-31,"1,2,3,4",2020
"ТВБВ №10013/03 філії Львівського обласного управління АТ «Ощадбанк», МФО 325796",поточний рахунок,UA403257960000026006300560545,0,"Всеукраїнське обʼєднання ""Батьківщина""",Залізнична Районна Організація,33894966,Львівська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA743052990000026003050336241,0,"Всеукраїнське обʼєднання ""Батьківщина""",Камʼянська Міська Організація,25841723,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA573052990000026007050277920,392.07,"Всеукраїнське обʼєднання ""Батьківщина""",Нікопольська Міська Організація,25841367,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA283052990000026008050318275,0,"Всеукраїнське обʼєднання ""Батьківщина""",Синельниківська Міська Організація,25927092,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" Криворізька філія , МФО 305750",поточний рахунок,UA90 305750 00000 26006053519096,2414.45,"Всеукраїнське обʼєднання ""Батьківщина""",Криворізька Міська Організація,25840741,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA733052990000026007050293540,0,"Всеукраїнське обʼєднання ""Батьківщина""",Верхньодніпровська Районна Організація,25947108,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA843052990000026001050305768,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дніпровська Районна Організація,25914066,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" МФО 305750",поточний рахунок,UA323057500000026000053511517,0,"Всеукраїнське обʼєднання ""Батьківщина""",Криворізька Районна Організація,33453643,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" МФО 305299",поточний рахунок,UA023052990000026006050268468,0,"Всеукраїнське обʼєднання ""Батьківщина""",Вільногірська Міська Організація,25841321,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA483052990000026001050273533,0,"Всеукраїнське обʼєднання ""Батьківщина""",Жовтоводська Міська Організація,25841344,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA703052990000026008050277361,0,"Всеукраїнське обʼєднання ""Батьківщина""",Марганецька Міська Організація,25841350,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA 563052990000026002050545828,0,"Всеукраїнське обʼєднання ""Батьківщина""",Марганецька Міська Організація,25841350,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA723052990000026006050271961,0,"Всеукраїнське обʼєднання ""Батьківщина""",Новомосковська Міська Організація,25841700,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" МФО 305299",поточний рахунок,UA103052990000026004050298559,0,"Всеукраїнське обʼєднання ""Батьківщина""",Магдалинівська Районна Організація,25927057,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк "", МФО 305299",поточний рахунок,UA653052990000026007050262935,0,"Всеукраїнське обʼєднання ""Батьківщина""",Нікопольська Районна Організація,25841717,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA823052990000026007050267479,,"Всеукраїнське обʼєднання ""Батьківщина""",Новомосковська Районн Організація,26051168,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA143052990000026002050281483,0,"Всеукраїнське обʼєднання ""Батьківщина""",Петриківська Районна Організація,25914072,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA293052990000026007050275029,0,"Всеукраїнське обʼєднання ""Батьківщина""",Синельниківська Районна Організація,25914057,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" МФО 305750",поточний рахунок,UA933057500000026002053518596,0,"Всеукраїнське обʼєднання ""Батьківщина""",Софіївська Районна Організація,25947083,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA983052990000026000050300991,0,"Всеукраїнське обʼєднання ""Батьківщина""",Томаківська Районна Організація,25927078,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA433052990000026000050269195,3095.14,"Всеукраїнське обʼєднання ""Батьківщина""",Царичанська Районна Організація,25841670,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305750",поточний рахунок,UA313057500000026000053512505,0,"Всеукраїнське обʼєднання ""Батьківщина""",Широківська Районна Організація,25841410,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"", МФО 305299",поточний рахунок,UA733052990000026008050293118,0,"Всеукраїнське обʼєднання ""Батьківщина""",Юрʼївська Районна Організація,25841427,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" МФО 305299",поточний рахунок,UA573052990000026006050274753,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дніпровська Міська Організація,25841338,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" МФО 305299",поточний рахунок,UA133052990000020682050313001,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дніпровська Міська Організація,25841338,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" МФО 305299",поточний рахунок,UA723052990000020681050318375,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дніпровська Міська Організація,25841338,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк"" МФО 305299",поточний рахунок,UA893052990000035700050268755,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дніпровська Міська Організація,25841338,Дніпропетровська область,2020-12-31,"1,2,3,4",2020
"Філія Рівненське обласне управління АТ ""Ощадбанк"", 333368",поточний рахунок,UA143333680000 26009300025272,482.24,"Всеукраїнське обʼєднання ""Батьківщина""",Здолбунівська Районна Організація,25930289,Рівненська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA393052990000026007011608709,,"Всеукраїнське обʼєднання ""Батьківщина""",Золотоніська Міська Організація,25947887,Черкаська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA813052990000026007031601593,,"Всеукраїнське обʼєднання ""Батьківщина""",Золотоніська Районна Організація,26096753,Черкаська область,2020-12-31,"1,2,3,4",2020
"ПАТ ""Кредобанк"", МФО 325365",поточний рахунок,UA 61325365000000 2600401064845,531.68,"Всеукраїнське обʼєднання ""Батьківщина""",Золочівська Районна Організація,25253624,Львівська область,2020-12-31,"1,2,3,4",2020
"Івано-Франківська філія ПАТ АБ ""Украгазбанк"",МФО 320478",поточний рахунок,UA083204780000000026007300867,682494.18,"Всеукраїнське обʼєднання ""Батьківщина""",Івано-Франківська Обласна Організація,25789520,Івано-Франківська область,2020-12-31,"1,2,3,4",2020
"Івано-Франківська філія ПАТ АБ ""Украгазбанк"",МФО 320478",поточний рахунок,UA483204780000026042903293899,,"Всеукраїнське обʼєднання ""Батьківщина""",Івано-Франківська Обласна Організація,25789520,Івано-Франківська область,2020-12-31,"1,2,3,4",2020
АТ КБ «Приватбанк»,поточний рахунок,UA393154050000026007052308633,0,"Всеукраїнське обʼєднання ""Батьківщина""",Ізяславська Районна Організація,25879269,Хмельницька область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA183154050000026001052404469,0,"Всеукраїнське обʼєднання ""Батьківщина""",Кам`Янець-Подільська Міська Організація,25889575,Хмельницька область,2020-12-31,"1,2,3,4",2020
"ХФ ЗАТ КБ ""Приватбанк""",поточний рахунок,UA 873154050000026004060713406,0,"Всеукраїнське обʼєднання ""Батьківщина""",Кам`Янець-Подільська Районна Організація,25889552,Хмельницька область,2020-12-31,"1,2,3,4",2020
"ТВБВ № 10013/0226 Філія Львівського обласного управління АТ ""Ощадбанк""",поточний рахунок,UA783257960000026007300565356,0,"Всеукраїнське обʼєднання ""Батьківщина""",Камʼянка-Бузька Районна Організація,25258550,Львівська область,2020-12-31,"1,2,3,4",2020
"ПАТ ""КРЕДОБАНК""",поточний рахунок,UA203253650000000260060000605,0,"Всеукраїнське обʼєднання ""Батьківщина""",Камʼянка-Бузька Районна Організація,25258550,Львівська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA293007110000026002052614362,0,"Всеукраїнське обʼєднання ""Батьківщина""",Голосіївська Районна Організація,21716820,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA763052990000026001036214237,127.08,"Всеукраїнське обʼєднання ""Батьківщина""",Голосіївська Районна Організація,21716820,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA153206490000026008052683834,2100,"Всеукраїнське обʼєднання ""Батьківщина""",Дарницька Районна Організація,21716949,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA553206490000026048052603766,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дарницька Районна Організація,21716949,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA963206490000035701052624608,0,"Всеукраїнське обʼєднання ""Батьківщина""",Дарницька Районна Організація,21716949,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA943206490000036001045001302,207,"Всеукраїнське обʼєднання ""Батьківщина""",Дарницька Районна Організація,21716949,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA343218420000026001020101616,0,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA143218420000035705030102152,-100,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA403218420000020685040103135,0,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",рахунок для соціальних виплат,UA553218420000026043030101868,0,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA583218420000020639000101866,0,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA583218420000026077010104787,0,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA653218420000026072010102115,0,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA673218420000029096000103129,0,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA973218420000020686010102109,0,"Всеукраїнське обʼєднання ""Батьківщина""",Деснянська Районна Організація,21713603,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA803052990000026000046213832,254153.8,"Всеукраїнське обʼєднання ""Батьківщина""",Київська Міська Організація,21709458,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA233052990000026006006205743,0,"Всеукраїнське обʼєднання ""Батьківщина""",Київська Міська Організація,21709458,Київська область,2020-12-31,"1,2,3,4",2020
"АТ ""Райффайзен Банк Аваль""",поточний рахунок,UA383808050000000026002135487,60.46,"Всеукраїнське обʼєднання ""Батьківщина""",Київська Міська Організація,21709458,Київська область,2020-12-31,"1,2,3,4",2020
"АТ ""Райффайзен Банк Аваль""",поточний рахунок,UA143808050000000026007135493,1116.25,"Всеукраїнське обʼєднання ""Батьківщина""",Київська Міська Організація,21709458,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA613007110000026006052619761,0,"Всеукраїнське обʼєднання ""Батьківщина""",Оболонська Районна Організація,25895860,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA413052990000026001026208929,7407.51,"Всеукраїнське обʼєднання ""Батьківщина""",Оболонська Районна Організація,25895860,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA743206490000026008052679183,0,"Всеукраїнське обʼєднання ""Батьківщина""",Святошинська Районна Організація,21716010,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA733052990000026005006220785,535.13,"Всеукраїнське обʼєднання ""Батьківщина""",Соломʼянська Районна Організація,21716903,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA253007110000026009052622829,0,"Всеукраїнське обʼєднання ""Батьківщина""",Соломʼянська Районна Організація,21716903,Київська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA503052990000026046046203787,0,"Всеукраїнське обʼєднання ""Батьківщина""",Соломʼянська Районна Організація,21716903,Київська область,2020-12-31,"1,2,3,4",2020
"АБ ""Украгазбанк""",поточний рахунок,UA963204780000026004924426650,224853.65,"Всеукраїнське обʼєднання ""Батьківщина""",Київська Обласна Організація,21710792,Київська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA193052990000026001045103470,475103.84,"Всеукраїнське обʼєднання ""Батьківщина""",Кіровоградська Обласна Організація,24146984,Кіровоградська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA223034400000026004055510716,810.26,"Всеукраїнське обʼєднання ""Батьківщина""",Ковельська Міська Організація,25910039,Волинська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA513034400000026008055506469,179.74,"Всеукраїнське обʼєднання ""Батьківщина""",Ковельська Районна Організація ,25910097,Волинська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA243366770000026003052547166,0,"Всеукраїнське обʼєднання ""Батьківщина""",Коломийська Міська Організація,33767667,Івано-Франківська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA593375460000026009055028339,,"Всеукраїнське обʼєднання ""Батьківщина""",Конотопська Районна Організація,40782411,Сумська область,2020-12-31,"1,2,3,4",2020
АТ КБ Приват Банк м.Коростень,поточний рахунок,UA113117440000026009055819171,-,"Всеукраїнське обʼєднання ""Батьківщина""",Коростенська Районна Організація,33985229,Житомирська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA 723355480000026000053633567,-,"Всеукраїнське обʼєднання ""Батьківщина""",Краматорська Міська Організація,25893826,Донецька область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA353154050000026004052309486,0,"Всеукраїнське обʼєднання ""Батьківщина""",Красилівська Районна Організація,34025908,Хмельницька область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA903375460000026002055020259,16.04,"Всеукраїнське обʼєднання ""Батьківщина""",Краснопільська Районна Організація,24015897,Сумська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA713375460000026004055021988,0.87,"Всеукраїнське обʼєднання ""Батьківщина""",Кролевецька Районна Організація,24016052,Сумська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA493375460000026004055019183,,"Всеукраїнське обʼєднання ""Батьківщина""",Лебединська Міська Організація,37261497,Сумська область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""Приватбанк""",поточний рахунок,UA813375460000026003055017283,,"Всеукраїнське обʼєднання ""Батьківщина""",Лебединська Районна Організація,37345571,Сумська область,2020-12-31,"1,2,3,4",2020
ПАТ КБ «Приватбанк»,поточний рахунок,UA 953154050000026005052300224,0,"Всеукраїнське обʼєднання ""Батьківщина""",Летичівська Районна Організація,25879275,Хмельницька область,2020-12-31,"1,2,3,4",2020
"АТ КБ ""ПРИВАТ БАНК""",поточний рахунок,UA253047950000026002053730540,0,"Всеукраїнське обʼєднання ""Батьківщина""",Лисичанська Міська Організація,25926767,Луганська область,2020-12-31,"1,2,3,4",2020
"ТВБВ №10013/076 філії ЛОУ АТ ""Ощадбанк"", МФО 325796",поточний рахунок,UA223257960000026006300573673,453.94,"Всеукраїнське обʼєднання ""Батьківщина""",Личаківська Районна Організація,25255971,Львівська область,2020-12-31,"1,2,3,4",2020
ПАТ КБ «Приватбанк»,поточний рахунок,UA923047950000026005053714488,18614.15,"Всеукраїнське обʼєднання ""Батьківщина""",Луганська Обласна Організація,25060552,Луганська область,2020-12-31,"1,2,3,4",2020
ПАТ АБ «Украгазбанк»,поточний рахунок,UA173204780000026002924876183,10942.29,"Всеукраїнське обʼєднання ""Батьківщина""",Луганська Обласна Організація,25060552,Луганська область,2020-12-31,"1,2,3,4",2020
АТ КБ Приватбанк м.Коростень,поточний рахунок,UA753117440000026004055817413,-,"Всеукраїнське обʼєднання ""Батьківщина""",Лугинська Районна Організація,33913730,Житомирська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA643034400000026007055517909,1221.6,"Всеукраїнське обʼєднання ""Батьківщина""",Луцька Міська Організація,25910022,Волинська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA723034400000026008055519865,110.09,"Всеукраїнське обʼєднання ""Батьківщина""",Луцька Районна Організація,25910105,Волинська область,2020-12-31,"1,2,3,4",2020
"ТВБВ №10013\03 філії ЛОУ АТ ""Ощадбанк"", МФО 325796",поточний рахунок,UA063257960000026001300560551,0,"Всеукраїнське обʼєднання ""Батьківщина""",Львівська Міська Організація,37693380,Львівська область,2020-12-31,"1,2,3,4",2020
"ПАТ Райффайзен Банк Аваль, МФО 380805",поточний рахунок,UA88 3808 0500 0000 0026 0092 2334 7,514581.91,"Всеукраїнське обʼєднання ""Батьківщина""",Львівська Обласна Організація,25249083,Львівська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк"", код банку 326610",поточний рахунок,UA803266100000026001053221668,0,"Всеукраїнське обʼєднання ""Батьківщина""",Миколаївська Обласна Організація,23405295,Миколаївська область,2020-12-31,"1,2,3,4",2020
"АТ ""Мегабанк"", код банку 351629",поточний рахунок,UA073516290000000002600514663,4234.69,"Всеукраїнське обʼєднання ""Батьківщина""",Миколаївська Обласна Організація,23405295,Миколаївська область,2020-12-31,"1,2,3,4",2020
"Філія Миколаївське ОУ АТ ""Ощадбанк"", код банку 326461",поточний рахунок,UA093264610000026008300792424,0,"Всеукраїнське обʼєднання ""Батьківщина""",Миколаївська Районна Організація,26029225,Миколаївська область,2020-12-31,"1,2,3,4",2020
"ТВБВ № 10013/081 філія ЛОУ АТ ""Ощадбанк"", МФО 325796",поточний рахунок,UA263257960000026006300552940,0,"Всеукраїнське обʼєднання ""Батьківщина""",Миколаївська Районна Організація,25255505,Львівська область,2020-12-31,"1,2,3,4",2020
"Філія Львівське обласне управління ТВБВ АТ ""Ощадбанк"" №10012/0189, МФО 325796",поточний рахунок,UA753257960000026009300575333,245.26,"Всеукраїнське обʼєднання ""Батьківщина""",Моршинська Міська Організація,33892119,Львівська область,2020-12-31,"1,2,3,4",2020
"Філія ТВБВ АТ ""Ощадбанк"" №10013/098, МФО 325796",поточний рахунок,UA933257960000026009300552505,0,"Всеукраїнське обʼєднання ""Батьківщина""",Мостиська Районна Організація,25257639,Львівська область,2020-12-31,"1,2,3,4",2020
"ПАТ КБ ""Приватбанк""",поточний рахунок,UA203154050000026001052315387,0,"Всеукраїнське обʼєднання ""Батьківщина""",Нетішинська Міська Організація,25835036,Хмельницька область,2020-12-31,"1,2,3,4",2020
"АБ ""Украгазбанк""№322/05 м.Новоград-Волинський",поточний рахунок,UA653204780000026004924421291,-,"Всеукраїнське обʼєднання ""Батьківщина""",Новоград-Волинська Районна Організація,33852689,Житомирська область,2020-12-31,"1,2,3,4",2020
"ТВБВ № 10013/095 філії ЛОУ АТ ""Ощадбанк"" , МФО 325796",поточний рахунок,UA613257960000026002300553222,0,"Всеукраїнське обʼєднання ""Батьківщина""",Новороздільська Міська Організація,33756901,Львівська область,2020-12-31,"1,2,3,4",2020
