Партія,Місцева організація,Географічний обʼєкт,Ідентифікаційний код юридичної особи за ЄДРПОУ,Місцезнаходження,Фактичне місцезнаходження,"Реквізити банків, у яких відкрито рахунки"
Блок Петра Порошенка “Солідарність”,Луганська обласна організація,Луганська область,39825996,"Луганська обл., м. Сєвєродонецьк, вул. КУРЧАТОВА, буд. 23","Луганська обл., м. Сєвєродонецьк, вул. КУРЧАТОВА, буд. 23","Луганська філія ПАТ комерційний банк ""Приватбанк"", місцезнаходження: 91011, м. Луганськ, вул. Челюскінців, буд. 14, ідентифікаційний код 14360570, МФО 304795, Рахунок № 26009053718941"
Блок Петра Порошенка “Солідарність”,Львівська обласна організація,Львівська область,39702118,"м. Львів, вул. ЛАЗАРЕНКА, буд. 1А, оф. 72","м. Львів, вул. ЛАЗАРЕНКА, буд. 1А, оф. 71","Відділення ""Львівська регіональна дирекція"" ПАТ ""Міжнародний інвестиційний банк"", місцезнаходження: 79071, м. Львів, вул. Щирецька, буд. 36, ідентифікаційний код 35810511, МФО 380582 Рахунок № 26004010318212"
Блок Петра Порошенка “Солідарність”,Миколаївська обласна організація,Миколаївська область,26029188,"м. Миколаїв, вул. ЛЯГІНА, буд. 4, оф. 214","м. Миколаїв, вул. ЛЯГІНА, буд. 4, оф. 214","Філія ПАТ ""Державний експортно -імпортний банк України"" в м. Миколаєві, місцезнаходження: 54017, м. Миколаїв, вул. Декабристів, буд. 25-А, ідентифікаційний код 19362154, МФО 326739, Рахунок № 26001001018134, ПАТ КБ Приватбанк , МФО 326610, ідентифікаційний код 14360570, р/р 26001053219711"
Блок Петра Порошенка “Солідарність”,Одеська обласна організація,Одеська область,39607381,"м. Одеса, вул. КАНАТНА, буд. 10","м. Одеса, вул. КАНАТНА, буд. 10","Відділення № 26 ПАТ ""Банк Восток"" , місцезнаходження: 65014, м. Одеса, вул. Канатна, буд. 1-Б, ідентифікаційний код 26237202, МФО 307123 Рахунок № 26003010325274"
Блок Петра Порошенка “Солідарність”,Полтавська міська організація,Полтавська область,39962153,"м. Полтава, вул. ЖОВТНЕВА, буд. 60","м. Полтава, вул. Котляревського, буд. 22Б","Полтавська обласна дирекція ПАТ акціонерний банк ""Укргазбанк"" відділення №323, місцезнаходження: 36020, м. Полтава, вул. Жовтнева, буд. 19, ідентифікаційний код 23697280, МФО 320478 Рахунок № 26000212002144"
Блок Петра Порошенка “Солідарність”,Полтавська обласна організація,Полтавська область,26090791,"м. Полтава, вул. ЖОВТНЕВА, буд. 60","м. Полтава, вул. Котляревського, буд. 22Б","Полтавська обласна дирекція ПАТ акціонерний банк ""Укргазбанк"" відділення №323, місцезнаходження: 36020, м. Полтава, вул. Жовтнева, буд. 19, ідентифікаційний код 23697280, МФО 320478 Рахунок №26000279199"
Блок Петра Порошенка “Солідарність”,Рівненська обласна організація,Рівненська область,39757256,"м. Рівне, вул. ДАНИЛА ГАЛИЦЬКОГО, буд. 19, оф. 106","м. Рівне, вул. ДАНИЛА ГАЛИЦЬКОГО, буд. 19, оф. 106","Рівненська філія ПАТ КБ ""Приватбанк"", місцезнаходження: 33023, м. Рівне, вул. Грушевського, буд. 42А, ідентифікаційний код 14360570, МФО 333391 Рахунок № 26009054713048"
Блок Петра Порошенка “Солідарність”,Сумська обласна організація,Сумська область,39587135,"м. Суми, вул. ЯРОСЛАВА МУДРОГО, буд. 60/1","м. Суми, вул. ЯРОСЛАВА МУДРОГО, буд. 60/1","ПАТ комерційний банк ""Приватбанк"", місцезнаходження: 40030, м. Суми, вул. Козацький Вал, буд. 1, ідентифікаційний код: 14360570, МФО 337546 Рахунок № 26009055016910"
Блок Петра Порошенка “Солідарність”,Тернопільська обласна організація,Тернопільська область,39614425,"м. Тернопіль, вул. САГАЙДАЧНОГО, буд. 6А","м. Тернопіль, вул. САГАЙДАЧНОГО, буд. 6А","Тернопільська філія ПАТ комерційний банк ""Приватбанк"", місцезнаходження: 46013, м. Тернопіль, пр-т. Степана Бандери, буд. 38, ідентифікаційний код 14360570, МФО 338783 Рахунок № 26009055114295"
Блок Петра Порошенка “Солідарність”,Харківська обласна організація,Харківська область,39740347,"м. Харків, вул. СУМСЬКА, буд. 39","м. Харків, вул. СУМСЬКА, буд. 39","ПАТ ""Мегабанк"", місцезнаходження: 61002, м. Харків, вул. Артема (Алчевських), буд. 30, ідентифікаційний код 09804119, МФО 351629 Рахунок № 2600912063"
Блок Петра Порошенка “Солідарність”,Херсонська обласна організація,Херсонська область,39438699,"м. Херсон, вул. 14 СХІДНА, буд. 3","м. Херсон, вул. Перекопська, буд. 39А","Відділення №265/21 ПАТ акціонерний банк ""Укргазбанк"" , місцезнаходження: 73000, м. Херсон, вул. Перекопська, буд.21, ідентифікаційний код 23697280, МФО 320478 Рахунок № 26001266059"
Блок Петра Порошенка “Солідарність”,Хмельницька обласна організація,Хмельницька область,39545645,"м. Хмельницький, пров. ПУШКІНА, буд. 11","м. Хмельницький, пров. ПУШКІНА, буд. 11","ПАТ ""Укрсоцбанк"", місцезнаходження: 03150, м. Київ, вул. Ковпака, буд. 29, ідентифікаційний код 00039019, МФО 300023 Рахунок № 26001011576381"
Блок Петра Порошенка “Солідарність”,Черкаська обласна організація,Черкаська область,39602603,"м. Черкаси, вул. СУМГАЇТСЬКА, буд. 8/2","м. Черкаси, бульв. Шевченка, буд. 205, оф. 605","Філія - Черкаське обласне управління ПАТ ""Державний ощадний банк України"", місцезнаходження: 18005, м. Черкаси, б-р. Шевченка, буд. 320, ідентифікаційний код 02767059, МФО 354507 Рахунок № 26002001135423"
Блок Петра Порошенка “Солідарність”,Чернівецька обласна організація,Чернівецька область,39692702,"м. Чернівці, вул. КОМАРОВА ВОЛОДИМИРА, буд. 13А","м. Чернівці, вул. Сімовича, буд. 21А","Відділення №46/25 Чернівецької обласної дирекції ПАТ акціонерний банк ""Укргазбанк"" , місцезнаходження: 58000, м.Чернівці, вул. Героїв Майдану, буд. 77, ідентифікаційний код 23697280, МФО 320478 Рахунок № 26001266565"
Блок Петра Порошенка “Солідарність”,Чернігівська обласна організація,Чернігівська область,39742680,"м. Чернігів, вул. МАГІСТРАТСЬКА, буд. 4, кв. 20","м. Чернігів, вул. МАГІСТРАТСЬКА, буд. 4, кв. 20","ПАТ ""Укрсоцбанк"", місцезнаходження: 03150, м. Київ, вул. Ковпака, буд. 29, ідентифікаційний код 00039019, МФО 300023 Рахунок № 26006011627020"
Блок Петра Порошенка “Солідарність”,Київська міська організація,Київ,39154804,"м. Київ, вул. ЛАВРСЬКА, буд. 16","м. Київ, вул. Лаврська, буд. 16","ПАТ ""Укрсоцбанк"" Старокиївське відділення, місцезнаходження: 01033, м. Київ, вул. Саксаганського, буд. 14, ідентифікаційний код 00039019, МФО 300023 Рахунок № 26008011649608"
Блок Петра Порошенка “Солідарність”,Центральний офіс,Україна,21715714,"м. Київ, вул. Електриків, буд. 29А","м. Київ, вул. Лаврська, буд. 16","ПАТ ""Міжнародний інвестиційний банк"", місцезнаходження: 01015, м. Київ, вул.Лаврська, буд. 16, ідентифікаційний код 35810511, МФО 380582, Поточний рахунок № 26006020316815, Депозитний рахунок 26102010316815, Рахунок № 26007030316815"
Блок Петра Порошенка “Солідарність”,Коломийська міська організація,Івано-Франківська область,39790251,"Івано-Франківська обл., м. Коломия, вул. ДОВБУША, буд. 65А","Івано-Франківська обл., м. Коломия, вул. Петлюри, буд. 9","Територіально відокремлене безбалансове відділення № 10008/0129 філії Івано-Франківського обласного управління ПАТ ""Державний ощадний банк України"", місцезнаходження: 78200, м. Коломия, вул. Драгоманова, буд. 5, ідентифікаційний код 00032129, МФО 336503 Рахунок № 26003300980169"
Блок Петра Порошенка “Солідарність”,Кременчуцька міська організація,Полтавська область,39957532,"Полтавська обл., м. Кременчук, вул. 29 вересня, буд. 10/24, кв. 3",,"ПАТ ""Промислово-фінансовий банк"", місцезнаходження: 39627, Полтавська обл., м. Кременчук, буд. 22Б, кв. 278, ідентифікаційний код 25292831, МФО 331768, Рахунок № 26001424501"
Блок Петра Порошенка “Солідарність”,Дніпровська міська організація,Дніпропетровська область,41146881,"м. Дніпро, просп. ДМИТРА ЯВОРНИЦЬКОГО, буд. 68","м. Дніпро, Січевська Набережна, буд. 36","Філія- Дніпропетровське обласне управління ПАТ ""Державний ощадний банк України"", місцезнаходження: 49044, м. Дніпропетровськ, вул. Клари Цеткін, буд. 9А, ідентифікаційний код 09305480, МФО 305482, р/р 26004300644298"
