Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,Дата припинення,Сума (вартість) зобовʼязання на момент припинення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),"Сума (вартість) на кінець звітного періоду, грн",Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Квартал,Рік
Зарплата,2020-04-01,5474.32,2020-05-06 00:00:00,,Небрат Вікторія Петрівна,,"м.Київ, ",5474.32,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Зарплата,2020-01-01,149969.47,2020-12-31 00:00:00,,Кокорузь Марія Михайлівна,,м.Львів,149969.47,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
допомога по вагітності та пологам,2020-01-01,17273.34,2020-02-13 00:00:00,,Новицька Світлана Богданівна,,"Івано-Франківська обл, Богородчанський р-н, ",17273.34,фізична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Оренда приміщення,2020-01-01,61788.08,2020-12-31 00:00:00,,Конотопське УДКСУ Сумської області,37784555.0,"41600, Сумська обл., місто Конотоп, ВУЛИЦЯ БРАТІВ ЛУЗАНІВ, будинок 48",61788.08,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Продукція G Suit Basic,2020-01-01,74120.35,2020-12-31 00:00:00,3037.96,ТОВ 'МАКЛАУД',40231242.0,"79005, Львівська обл., місто Львів, ВУЛИЦЯ ДУДАЄВА, будинок 19, квартира 1",71082.39,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Комунальні,2020-01-01,1041.48,2020-12-31 00:00:00,,ПАТ по газопостачанню і газифікації 'Львівгаз',3349039.0,"79039, Львівська обл., місто Львів, ВУЛ.ЗОЛОТА, будинок 42",1041.48,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Електронно цифровий підпис,2020-01-01,1508.0,2020-12-31 00:00:00,,"ТОВ ""ЦЕНТР СЕРТИФІКАЦІЇ КЛЮЧІВ ""УКРАЇНА""",36865753.0,"04080, м. Київ, вул. Фрунзе 102",1508.0,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Друковані ЗМІ,2020-01-01,5875.0,2020-12-31 00:00:00,5875,"КП Дніпропетровської Обласної Ради 'Редакція газети ""Зоря""",35497923.0,"49004, Дніпропетровська обл., м. Дніпро,проспект О. Поля,2",,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Оренда приміщення,2020-01-01,6064.41,2020-12-31 00:00:00,,КП 'Червонограджитлокомунсервіс',31616100.0,"80100, Львівська обл., місто Червоноград, ВУЛИЦЯ КОНОВАЛЬЦЯ, будинок 3",6064.41,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
канцтовари,2020-01-01,2840.44,2020-12-31 00:00:00,,ТОВ 'Ромус-Поліграф',25551379.0,"м.Львів, вул.Широка 81",2840.44,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Комунальні,2020-01-01,12312.12,2020-12-31 00:00:00,,ТОВ 'ЛЬВІВЕНЕРГОЗБУТ',42092130.0,"79016, Львівська обл., місто Львів, ВУЛИЦЯ ШЕВЧЕНКА, будинок 1",12312.12,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
послуги у сфері інформатизації ,2020-01-01,25795.79,2020-12-31 00:00:00,,ТОВ 'Софтпром Солюшинз',38282502.0,"04074, м.Київ, вул.Лугова 12",25795.79,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Послуги зв'язку,2020-01-01,672.0,2020-12-31 00:00:00,,ПАТ 'ДАТАГРУП',31720260.0,"03057, м. Київ, вул. Смоленська, 31/33",672.0,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Комунікації,2020-01-01,1191.96,2020-12-31 00:00:00,,ТОВ ' УКРКОМ',22891175.0,"03151, м. Київ, пр-т Повітрофлотський,72",1191.96,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Захід,2020-01-01,11850.0,2020-12-31 00:00:00,,ТОВ 'Бокс Кейтерінг',41813560.0,"03150, місто Київ, ВУЛИЦЯ АНТОНОВИЧА, будинок 158",11850.0,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Оренда залу,2020-01-01,4800.0,2020-12-31 00:00:00,,ТОВ 'Антхілл спейс',42908684.0,"Україна, 03124, місто Київ, ВУЛИЦЯ ВАСИЛЕНКА, будинок 7",4800.0,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Послуги зв'язку,2020-01-01,10718.76,2020-12-31 00:00:00,470,ПАТ 'Київстар',21673832.0,"03113, м.Київ, вул. Дегтярівська 53",10248.76,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Інформаційно-консультаційні послуги,2020-01-01,10560.0,2020-12-31 00:00:00,10560,ПП 'Міжнародний Еріксоновський Університет Коучинг,40950383.0,"04128, м. Київ, вул. Стеценка, 19/91",,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Аудит,2020-01-01,78750.0,2020-12-31 00:00:00,30000,ТОВ 'ПКФ Україна',34619277.0,"01030, м. Київ, вул. Б.Хмельницького 52Б",48750.0,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Транспортування,2020-01-01,19918.9,2020-12-31 00:00:00,250,ТОВ 'Нова пошта',31316718.0,"36039, м. Полтава, вул. Європейська,57",19668.9,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Інтернет,2020-01-01,8229.0,2020-12-31 00:00:00,633,"ДП НТЦ 'Українська академічна і дослідницька мережа"" ",30275262.0,"79011, Львівська обл., місто Львів, ВУЛ.СВЄНЦІЦЬКОГО, будинок 1",7596.0,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Оренда приміщення,2020-01-01,23399.81,2020-12-31 00:00:00,23399.81,ПАТ 'Промбудприлад',31588943.0,"79012, м.Львів, вул. Ак. Сахарова 42",,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Сплата ПДФО,2020-01-01,44749.02,2020-12-31 00:00:00,,УК у Франківському р-ні м.Львова,37965138.0,"79044, м. Львів, вул. КОНОТОПСЬКА, буд .6/8",44749.02,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Сплата військового збору,2020-01-01,3729.1,2020-12-31 00:00:00,,УК у Франківському р-ні м.Львова,37965138.0,"79044, м. Львів, вул. КОНОТОПСЬКА, буд .6/8",3729.1,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
Сплата ЄСВ,2020-01-01,59030.46,2020-12-31 00:00:00,,Залізнична ОДПІ ГУ ДФС (Франківське відділення м.Львова),39554382.0,"79003, м. Львів, ВУЛИЦЯ СТРИЙСЬКА, будинок 35",59030.46,юридична особа,Об’єднання «САМОПОМІЧ»,Центральний офіс,38558365,Україна,4,2020
послуги банку,2020-01-01,11049.41,2020-12-31 00:00:00,,"АБ ""Укргазбанк""",23697280.0,"03087, м. Київ, вул. Єреванська, 1",11049.41,юридична особа,Об’єднання «САМОПОМІЧ»,Барська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39919455,Вінницька область,4,2020
послуги банку,2020-01-01,897.0,2020-12-31 00:00:00,,"ПАТ КБ ""ПРИВАТБАНК""",14360570.0,"01001 м.Київ, вул. Грушевського, 1Д",897.0,юридична особа,Об’єднання «САМОПОМІЧ»,Барська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39919455,Вінницька область,4,2020
Оренда приміщення,2020-01-24,7140.0,2020-07-15 00:00:00,0,"ТОВ ""Вектор БМ""",42258575.0,"02156, м.Київ, ВУЛИЦЯ БРАТИСЛАВСЬКА, будинок 14-Б",7140.0,юридична особа,Об’єднання «САМОПОМІЧ»,Барська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39919455,Вінницька область,4,2020
Оренда приміщення,2020-09-02,5100.0,2020-12-31 00:00:00,3060,"ТОВ ""ТЕМП М""",43718291.0,"Україна, 02156, місто Київ, ВУЛИЦЯ БРАТИСЛАВСЬКА, будинок 14-Б",2040.0,юридична особа,Об’єднання «САМОПОМІЧ»,Барська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39919455,Вінницька область,4,2020
Місцеві вибори,2020-10-07,24400.0,2020-10-08 00:00:00,0,ПОЛІТИЧНА ПАРТІЯ БАРСЬКА РАЙОННА ОРГАНІЗАЦІЯ ПОЛІТИЧНОЇ ПАРТІЇ ОБ'ЄДНАННЯ САМОПОМІЧ,39919455.0,"23000, Вінницька обл., Барський р-н, місто Бар, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 6",24400.0,юридична особа,Об’єднання «САМОПОМІЧ»,Барська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39919455,Вінницька область,4,2020
Грошова застава,2020-09-23,12671.0,2020-09-23 00:00:00,0,БАРСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЖМЕРИНСЬКОГО РАЙОНУ ВІННИЦЬКОЇ ОБЛАСТІ,43797787.0,"23000, Вінницька обл., Барський р-н, місто Бар, вул.Героїв Майдану, будинок 6, офіс 212",12671.0,юридична особа,Об’єднання «САМОПОМІЧ»,Барська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39919455,Вінницька область,4,2020
Комісія за розрахункове обслуговування рахунку,2020-01-03,3789.2,2020-12-01 00:00:00,0," АТ ""Ощадбанк""",9302607.0,"м. Вінниця, вул. Соборна, 71",3789.2,юридична особа,Об’єднання «САМОПОМІЧ»,Барська районна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39919455,Вінницька область,4,2020
Комісія банку,2020-01-03,200.0,2020-03-02 00:00:00,0,ПАТ КБ «Приватбанк» ,14360570.0,"01001, м.Київ, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 1Д",200.0,юридична особа,Об’єднання «САМОПОМІЧ»,Вінницька міська організація,39916686,Вінницька область,4,2020
товар,2020-12-21,7400.0,2020-12-21 00:00:00,,ФОП Головань Ангелiна Володимирiвна,,"Вінницька обл., м. Гайсин, вул.В. Чорновала ",7400.0,фізична особа,Об’єднання «САМОПОМІЧ»,Вінницька обласна організація,39983473,Вінницька область,4,2020
Грошова застава,2020-09-18,12631.0,2020-09-18 00:00:00,0,ГАЙСИНСЬКА МIСЬКА ТЕРИТОРIАЛЬНА  ВИБОРЧА КОМIСIЯ ГАЙСИНСЬКОГО РАЙОНУ ВIННИЦЬКОЇ ОБЛАСТI,43772474.0,"23700, Вінницька обл., Гайсинський р-н, м. Гайсин, вул. 1-го Травня, 7",12631.0,юридична особа,Об’єднання «САМОПОМІЧ»,Вінницька обласна організація,39983473,Вінницька область,4,2020
Розрахунково-касове обслуговування,2020-09-18,107.0,2020-12-21 00:00:00,0,"АТ КБ ""ПРИВАТБАНК""",14360570.0,"01001, місто Київ, вул. Грушевського, буд. 1Д",107.0,юридична особа,Об’єднання «САМОПОМІЧ»,Вінницька обласна організація,39983473,Вінницька область,4,2020
Комісія банку,2020-04-01,84.48,2020-09-22 00:00:00,0,"АТ КБ ""Приватбанк""",14360570.0,"01001, м.Київ, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 1Д",84.48,фізична особа,Об’єднання «САМОПОМІЧ»,Волинська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39923587,Волинська область,4,2020
Благодійний внесок,2020-03-31,67787.71,2020-04-01 00:00:00,0,"ПП ""Об'єднання ""Самопоміч""",38558365.0,"79012, Львівська обл., місто Львів, ВУЛИЦЯ САХАРОВА, будинок 42",67787.71,фізична особа,Об’єднання «САМОПОМІЧ»,Волинська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39923587,Волинська область,4,2020
Грошова застава,2020-09-15,11666.0,2020-09-15 00:00:00,0,ВОЛОДИМИР-ВОЛИНСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ВОЛОДИМИР-ВОЛИНСЬКОГО РАЙОНУ ВОЛИНСЬКОЇ ОБЛАСТІ,43757299.0,"Україна, 44700, Волинська обл., місто Володимир-Волинський, вул.Устилузька, будинок 17",11666.0,фізична особа,Об’єднання «САМОПОМІЧ»,Волинська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39923587,Волинська область,4,2020
Грошова застава,2020-09-17,4584.0,2020-09-17 00:00:00,0,Рожищенська міська територіальна виборча комісія Луцького району,43768693.0,"Україна, 45101, Волинська обл., Рожищенський р-н, місто Рожище, вул.Грушевського, будинок 12",4584.0,фізична особа,Об’єднання «САМОПОМІЧ»,Волинська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39923587,Волинська область,4,2020
Грошова застава,2020-09-21,9066.0,2020-09-21 00:00:00,0,НОВОВОЛИНСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ВОЛОДИМИР-ВОЛИНСЬКОГО РАЙОНУ ВОЛИНСЬКОЇ ОБЛАСТІ,43755595.0,"Україна, 45400, Волинська обл., місто Нововолинськ, пр.Дружби, будинок 27",9066.0,фізична особа,Об’єднання «САМОПОМІЧ»,Волинська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39923587,Волинська область,4,2020
Грошова застава,2020-09-21,4363.0,2020-09-21 00:00:00,0,ГОРОХІВСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ ЛУЦЬКОГО РАЙОНУ ВОЛИНСЬКОЇ ОБЛАСТІ,43767380.0,"45700, Волинська обл., Горохівський р-н, місто Горохів, вул.Хмельницького Б, будинок 2",4363.0,фізична особа,Об’єднання «САМОПОМІЧ»,Волинська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39923587,Волинська область,4,2020
Грошова застава,2020-09-21,13633.0,2020-09-21 00:00:00,0,КАМІНЬ-КАШИРСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ КАМІНЬ-КАШИРСЬКОГО РАЙОНУ ВОЛИНСЬКОЇ ОБЛАСТІ,43759102.0,"44501, Волинська обл., Камінь-Каширський р-н, місто Камінь-Каширський, вул.Воля, будинок 2, кабінет 125",13633.0,фізична особа,Об’єднання «САМОПОМІЧ»,Волинська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39923587,Волинська область,4,2020
Канцтовари,2020-06-01,2340.3,2020-06-02 00:00:00,0,"ТОВ ""Папірус Універсал""",40959684.0,"Україна, 12601, Житомирська обл., Брусилівський р-н, селище міського типу Брусилів, ВУЛИЦЯ БАЗАРНА, будинок 25",2340.3,юридична особа,Об’єднання «САМОПОМІЧ»,Дніпровська міська організація Політичної партії «Об’єднання «САМОПОМІЧ»,39959985,Дніпропетровська область,4,2020
Комісія банку,2020-01-03,260.0,2020-06-30 00:00:00,0,ПАТ АБ «Укргазбанк»,23697280.0,"49000, м. Дніпро, вул. Челюскіна, 12",260.0,юридична особа,Об’єднання «САМОПОМІЧ»,Дніпровська міська організація Політичної партії «Об’єднання «САМОПОМІЧ»,39959985,Дніпропетровська область,4,2020
Комісія банку,2020-01-03,570.0,2020-10-23 00:00:00,0,"АБ ""УКРГАЗБАНК""",23697280.0,"Україна, 03087, мисто Киів, ВУЛИЦЯ ЕРЕВАНСЬКА, будинок 1",570.0,юридична особа,Об’єднання «САМОПОМІЧ»,Дніпропетровська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39957684,Дніпропетровська область,4,2020
Грошова застава,2020-09-22,4461.0,2020-09-22 00:00:00,0,ТЕРНІВСЬКА Місько Територіальний ВИБОРЧА КОМІСІЯ Павлоградський район ДНІПРОПЕТРОВСЬКОІ ОБЛАСТІ,43757414.0,"51500, Днипропетровськ обл., Мисто Тернівка, вул.Петрова І., будинок 11",4461.0,юридична особа,Об’єднання «САМОПОМІЧ»,Дніпропетровська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39957684,Дніпропетровська область,4,2020
канцтовари,2020-09-22,6293.22,2020-09-22 00:00:00,0,"ТОВ ""ПАПІРУС УНІВЕРСАЛ""",40959684.0,"51500, Днипропетровськ обл., Мисто Тернівка, вул.Петрова І., будинок 11",6293.22,юридична особа,Об’єднання «САМОПОМІЧ»,Дніпропетровська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39957684,Дніпропетровська область,4,2020
РКО банку,2020-11-02,150.0,2020-11-02 00:00:00,0," АТ КБ ""ПРИВАТБАНК""",14360570.0," 01001, місто Київ, вул. ГРУШЕВСЬКОГО, буд. 1Д",150.0,юридична особа,Об’єднання «САМОПОМІЧ»,Закарпатська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39966276,Закарпатська область,4,2020
Розміщення та експонування інформаційних матеріалів,2020-11-30,66031.0,2020-12-14 00:00:00,0,ФОП Бабинюк Богдан Ярославович,,"вул. Дружби,7, м. Коломия, Івано-Франківська обл., 78200",66031.0,фізична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Підзвітні суми,2016-03-23,32936.52,-,32936.52,Виноградник Тарас Теофілович,,"м. Івано-Франківськ, ",0.0,фізична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Поворотна фінансова допомога,2016-11-04,10000.0,-,10000,Виноградник Тарас Теофілович,,"м. Івано-Франківськ, ",0.0,фізична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,9700.0,2020-09-21 00:00:00,0,Богородчанська селищна ТВК Івано-Франківського району,43774107.0,"вул. Шевченка, 66, смт Богородчани, Івано-Франківський р-н, Івано-Франківська обл., 77701",9700.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,13058.0,2020-09-21 00:00:00,0,Городенківська міська ТВК Коломийського району,43763999.0,"вул. Шевченка, 77, м. Городенка, Коломийський р-н, Івано-Франківська обл., 78100",13058.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,5654.0,2020-09-21 00:00:00,0,Косівська міська ТВК Косівського району,43792768.0,"майдан Незалежності, 11, м. Косів, Косівський р-н, Івано-Франківська обл., 78601",5654.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,2744.0,2020-09-21 00:00:00,0,Кутська селищна ТВК Косівського району,34098049.0,"вул. Снятинська, 6, с-ще Кути, Косівський р-н, Івано-Франківська обл., 78665",2744.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,11924.0,2020-09-21 00:00:00,0,Надвірнянська міська ТВК Надвірнянського району,43790116.0,"вул. Мазепи, 29, м. Надвірна, Надвірнянський р-н, Івано-Франківська обл., 78405",11924.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,8122.0,2020-09-21 00:00:00,0,Печеніжинська селищна ТВК Коломийського району,43801761.0,"вул. Незалежності, 13, смт Печеніжин, Коломийський р-н, Івано-Франківська обл., 78274",8122.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,9937.0,2020-09-21 00:00:00,0,Тисменицька міська ТВК Івано-Франківсього району,43763407.0,"вул. Галицька, 17, м. Тисмениця, Івано-Франківський р-н, Івано-Франківська обл., 77401",9937.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,10000.0,2020-09-24 00:00:00,0,Чернелицька селищна ТВК Коломийського району,37885629.0,"вул. Незалежності, 19, смт Чернелиця, Коломийський р-н, Івано-Франківська обл., 78112",10000.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-21,9564.0,2020-09-24 00:00:00,0,"Яремчанська міська
ТВК Надвірнянського району",43798211.0,"вул. Свободи, 266, м. Яремче, Надвірнянськийр-н, Івано-Франківська обл., 78500",9564.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-22,12192.0,2020-09-22 00:00:00,0,Коломийська міська ТВК Коломийського  району,43758198.0,"вул. Театральна, 27, м. Коломия, Коломийський р-н, Івано-Франківська обл., 78203",12192.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Грошова  застава,2020-09-22,48118.0,2020-09-22 00:00:00,0,Коломийська районна ТВК Коломийського  району,43758973.0,"вул. Івана Франка, 40, м. Коломия, Івано-Франківський р-н, Івано-Франківська обл., 78200",48118.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Послуги банку,2020-09-21,603.0,2020-12-30 00:00:00,0,ПАТ «Райффайзен банк Аваль»,14305909.0,"01011, м. Київ, вул. Лєскова 9",603.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Кредиторська заборгованість,2016-09-30,1100.0,2020-12-31 00:00:00,0,"ТОВ ""Юридична компанія ""Лігал Групп""",39807741.0,"76018, м. Івано-Франківськ, вул. Чорновола, 7/303",0.0,юридична особа,Об’єднання «САМОПОМІЧ»,Івано-Франківська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39927768,Івано-Франківська область,4,2020
Розрахунково-касове обслуговування,2020-01-03,100.0,2020-01-03 00:00:00,0,ПУБЛІЧНЕ АКЦІОНЕРНЕ ТОВАРИСТВО КОМЕРЦІЙНИЙ БАНК «ПРИВАТБАНК»,14360570.0,"вул. Грушевського, 1д, м. Київ 01001, Україна",100.0,юридична особа,Об’єднання «САМОПОМІЧ»,Київська міська організація Політичної партії «Об’єднання «САМОПОМІЧ»,39842314,Київська область,4,2020
Грошова застава,2020-09-21,11195.0,2020-09-21 00:00:00,0,Переяславська міська територіальна виборча комісія,43762754.0,"08400, Київська обл., Бориспільський р-н, м. Переяслав, вул. Богдана Хмельницького, 27/25",11195.0,юридична особа,Об’єднання «САМОПОМІЧ»,Київська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39922721,Київська область,4,2020
Грошова застава,2020-09-21,13588.0,2020-09-22 00:00:00,0,"Боярська міська територіальна виборча комісія
Фастівського району",43759029.0,"08150, Київська обл., Києво-Святошинський р-н., м. Боярка, вул. Грушевського, 39",13588.0,юридична особа,Об’єднання «САМОПОМІЧ»,Київська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39922721,Київська область,4,2020
