Найменування банку,Вид рахунку,Номер рахунку,Сума коштів,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний обʼєкт,Дата,Квартал,Рік
"АТ КБ ""Приватбанк""",Поточний рахунок,UA763052990000026001045007190,14.38,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA693052990000026006035017504,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA563052990000026001005009406,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA503387830000026001055143059,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA033366770000026000052549004,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA273052990000026000015008625,25902.86,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA743052990000026002040400371,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA453052990000026005040111537,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA813052990000026004040102581,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA133355480000026004053632650,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA653052990000026003050533992,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA723355480000026004053637699,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA663052990000026001001701429,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA343052990000026006001707558,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA853052990000026006041102317,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA963052990000026001033302131,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA913052990000026005005503340,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
"АТ КБ ""Приватбанк""",Поточний рахунок,UA943052990000026004026007859,0.00,СИЛА ЛЮДЕЙ,Центральний офіс,39378656,Україна,2022-12-31,4,2022
